"HIOKI E.E. CORPORATION,""IM3570"",""Ver. 3.11""";;
;;
"DATE,""17-12-15""";;
"TIME,""01:17:25""";;
;;
"SOURCE,""FREQ""";;
"TRIG,""REPEAT""";;
"DRAW,""REAL""";;
"TRIG DELAY,""0.0000"",""s""";;
"DCBIAS,""OFF""";;
;;
"V,""0.100"",""V""";;
"RANGE,""AUTO""";;
"SPEED,""SLOW""";;
"AVG,""OFF""";;
"POINT DELAY,""0.0000"",""s""";;
"No.,""FREQUENCY(Hz)"",""Z[]"",""OFF""";;
545;127.60E+03;1.822099E+06
546;127.69E+03;1.861682E+06
547;127.78E+03;1.911276E+06
548;127.86E+03;1.957782E+06
549;127.95E+03;1.975580E+06
550;128.04E+03;1.940822E+06
551;128.13E+03;1.889025E+06
552;128.21E+03;1.893719E+06
553;128.30E+03;1.836355E+06
554;128.39E+03;1.821493E+06
555;128.48E+03;1.797417E+06
556;128.56E+03;1.774513E+06
557;128.65E+03;1.780720E+06
558;128.74E+03;1.733225E+06
559;128.83E+03;1.723397E+06
560;128.91E+03;1.710866E+06
561;129.00E+03;1.690353E+06
562;129.09E+03;1.697834E+06
563;129.18E+03;1.637598E+06
564;129.26E+03;1.621807E+06
565;129.35E+03;1.654576E+06
566;129.44E+03;1.605107E+06
567;129.53E+03;1.586538E+06
568;129.61E+03;1.592353E+06
569;129.70E+03;1.589257E+06
570;129.79E+03;1.603362E+06
571;129.88E+03;1.569180E+06
572;129.96E+03;1.567753E+06
573;130.05E+03;1.541629E+06
574;130.14E+03;1.547184E+06
575;130.23E+03;1.527850E+06
576;130.31E+03;1.512334E+06
577;130.40E+03;1.518428E+06
578;130.49E+03;1.490651E+06
579;130.58E+03;1.497043E+06
580;130.66E+03;1.486778E+06
581;130.75E+03;1.465387E+06
582;130.84E+03;1.440352E+06
583;130.93E+03;1.471647E+06
584;131.01E+03;1.418460E+06
585;131.10E+03;1.424375E+06
586;131.19E+03;1.412877E+06
587;131.28E+03;1.419979E+06
588;131.36E+03;1.375551E+06
589;131.45E+03;1.381691E+06
590;131.54E+03;1.364828E+06
591;131.63E+03;1.378013E+06
592;131.71E+03;1.368062E+06
593;131.80E+03;1.340814E+06
594;131.89E+03;1.355814E+06
595;131.98E+03;1.350339E+06
596;132.06E+03;1.333808E+06
597;132.15E+03;1.310450E+06
598;132.24E+03;1.307200E+06
599;132.33E+03;1.313512E+06
600;132.41E+03;1.293922E+06
601;132.50E+03;1.286115E+06
602;132.59E+03;1.278031E+06
603;132.68E+03;1.277547E+06
604;132.76E+03;1.246537E+06
605;132.85E+03;1.252456E+06
606;132.94E+03;1.259022E+06
607;133.03E+03;1.256343E+06
608;133.11E+03;1.228793E+06
609;133.20E+03;1.224072E+06
610;133.29E+03;1.221950E+06
611;133.38E+03;1.215413E+06
612;133.46E+03;1.225398E+06
613;133.55E+03;1.223071E+06
614;133.64E+03;1.202865E+06
615;133.73E+03;1.217912E+06
616;133.81E+03;1.192976E+06
617;133.90E+03;1.189532E+06
618;133.99E+03;1.188305E+06
619;134.08E+03;1.189740E+06
620;134.16E+03;1.192965E+06
621;134.25E+03;1.179465E+06
622;134.34E+03;1.170438E+06
623;134.43E+03;1.161404E+06
624;134.51E+03;1.157530E+06
625;134.60E+03;1.152483E+06
626;134.69E+03;1.145804E+06
627;134.78E+03;1.129448E+06
628;134.86E+03;1.124403E+06
629;134.95E+03;1.135218E+06
630;135.04E+03;1.125795E+06
631;135.13E+03;1.108959E+06
632;135.21E+03;1.133805E+06
633;135.30E+03;1.109733E+06
634;135.39E+03;1.095671E+06
635;135.48E+03;1.090931E+06
636;135.56E+03;1.096585E+06
637;135.65E+03;1.103403E+06
638;135.74E+03;1.087424E+06
639;135.83E+03;1.084084E+06
640;135.91E+03;1.083873E+06
641;136.00E+03;1.063653E+06
642;136.09E+03;1.073102E+06
643;136.18E+03;1.067064E+06
644;136.26E+03;1.062431E+06
645;136.35E+03;1.060738E+06
646;136.44E+03;1.058686E+06
647;136.53E+03;1.046388E+06
648;136.61E+03;1.042617E+06
649;136.70E+03;1.029178E+06
650;136.79E+03;1.033404E+06
651;136.88E+03;1.033851E+06
652;136.96E+03;1.028784E+06
653;137.05E+03;1.029118E+06
654;137.14E+03;1.017687E+06
655;137.23E+03;1.018051E+06
656;137.31E+03;1.012441E+06
657;137.40E+03;1.000949E+06
658;137.49E+03;1.000755E+06
659;137.58E+03;998.2909E+03
660;137.66E+03;995.9009E+03
661;137.75E+03;1.001482E+06
662;137.84E+03;992.1853E+03
663;137.93E+03;985.8417E+03
664;138.01E+03;981.4695E+03
665;138.10E+03;972.4513E+03
666;138.19E+03;985.2578E+03
667;138.28E+03;972.2936E+03
668;138.36E+03;962.7466E+03
669;138.45E+03;967.2379E+03
670;138.54E+03;966.1631E+03
671;138.63E+03;950.4949E+03
672;138.71E+03;955.2807E+03
673;138.80E+03;952.6756E+03
674;138.89E+03;948.8407E+03
675;138.98E+03;946.9950E+03
676;139.06E+03;944.9194E+03
677;139.15E+03;942.8723E+03
678;139.24E+03;950.3393E+03
679;139.33E+03;933.0825E+03
680;139.41E+03;921.5785E+03
681;139.50E+03;938.0005E+03
682;139.59E+03;922.8171E+03
683;139.68E+03;920.8193E+03
684;139.76E+03;921.3227E+03
685;139.85E+03;921.3949E+03
686;139.94E+03;912.2067E+03
687;140.03E+03;914.2823E+03
688;140.11E+03;908.5562E+03
689;140.20E+03;902.8033E+03
690;140.29E+03;902.5836E+03
691;140.38E+03;894.8399E+03
692;140.46E+03;900.5461E+03
693;140.55E+03;895.4827E+03
694;140.64E+03;895.3596E+03
695;140.73E+03;886.4439E+03
696;140.81E+03;886.7300E+03
697;140.90E+03;886.6929E+03
698;140.99E+03;880.5158E+03
699;141.08E+03;878.8935E+03
700;141.16E+03;879.4848E+03
701;141.25E+03;881.1266E+03
702;141.34E+03;874.9196E+03
703;141.43E+03;846.0626E+03
704;141.51E+03;866.7525E+03
705;141.60E+03;864.1457E+03
706;141.69E+03;855.3380E+03
707;141.78E+03;862.7386E+03
708;141.86E+03;853.8735E+03
709;141.95E+03;854.7731E+03
710;142.04E+03;851.2088E+03
711;142.13E+03;847.8516E+03
712;142.21E+03;844.8719E+03
713;142.30E+03;845.5960E+03
714;142.39E+03;840.4930E+03
715;142.48E+03;835.9552E+03
716;142.56E+03;835.5960E+03
717;142.65E+03;832.0545E+03
718;142.74E+03;827.8947E+03
719;142.83E+03;835.5106E+03
720;142.91E+03;824.2764E+03
721;143.00E+03;829.1493E+03
722;143.09E+03;825.5586E+03
723;143.18E+03;832.9390E+03
724;143.26E+03;816.1428E+03
725;143.35E+03;815.8683E+03
726;143.44E+03;815.6797E+03
727;143.53E+03;810.8363E+03
728;143.61E+03;812.1246E+03
729;143.70E+03;808.8556E+03
730;143.79E+03;812.0074E+03
731;143.88E+03;809.7580E+03
732;143.96E+03;804.3912E+03
733;144.05E+03;805.6634E+03
734;144.14E+03;797.2095E+03
735;144.23E+03;794.4870E+03
736;144.31E+03;793.4572E+03
737;144.40E+03;796.6292E+03
738;144.49E+03;793.6821E+03
739;144.58E+03;784.9545E+03
740;144.66E+03;783.9953E+03
741;144.75E+03;781.4221E+03
742;144.84E+03;784.5128E+03
743;144.93E+03;778.4965E+03
744;145.01E+03;778.4268E+03
745;145.10E+03;780.6386E+03
746;145.19E+03;774.2324E+03
747;145.28E+03;770.3889E+03
748;145.36E+03;769.1493E+03
749;145.45E+03;768.2475E+03
750;145.54E+03;768.3612E+03
751;145.63E+03;764.8588E+03
752;145.71E+03;766.1629E+03
753;145.80E+03;761.9962E+03
754;145.89E+03;761.0862E+03
755;145.98E+03;757.5916E+03
756;146.06E+03;753.8814E+03
757;146.15E+03;757.4223E+03
758;146.24E+03;753.7076E+03
